isbn,box,comments,date,is_disponible
9782859569587,1,90c,09/10/23,
9782859567842,1,90c,09/10/23,
9782877064101,1,90c,09/10/23,
9782258078154,1,90c,09/10/23,
9782298046038,1,90c,09/10/23,
9782226108623,1,90c,09/10/23,
9782226115706,1,90c,09/10/23,
9782286004132,1,90c,09/10/23,
9782226093257,1,90c,09/10/23,
9782702134184,1,90c,09/10/23,
9782226100641,1,90c,09/10/23,
9782298137286,1,90c,09/10/23,
9782744198939,1,90c,09/10/23,
9782081302563,2,90c,09/10/23,
9782904616990,2,90c,09/10/23,
9782851822208,2,90c,09/10/23,
9782286004347,2,90c,09/10/23,
9782848930190,2,90c,09/10/23,
9782368123072,2,90c,09/10/23,
9782221104156,2,90c,09/10/23,
9782226029942,2,90c,09/10/23,
9782213604220,2,90c,09/10/23,
9782221053140,2,90c,09/10/23,
9782916400402,2,90c,09/10/23,
9782750900007,2,90c,09/10/23,
9782863741146,2,90c,09/10/23,
9782080685360,2,90c,09/10/23,
9782877610001,2,90c,09/10/23,
9782863911952,2,90c,09/10/23,
9782863912119,2,90c,09/10/23,
9782738206374,2,90c,09/10/23,
9782883530034,2,90c,09/10/23,
9782221099933,3,90c,09/10/23,
9782710302315,3,90c,09/10/23,
9782761902441,3,90c,09/10/23,
9782761902441,3,90c,09/10/23,
9782812901553,3,90c,09/10/23,
9782246281917,3,90c,09/10/23,
9782080241047,3,90c,09/10/23,
9782226393227,3,90c,09/10/23,
9782702893180,3,90c,09/10/23,
9782702893173,3,90c,09/10/23,
9782226221445,3,90c,09/10/23,
9782226054203,3,90c,09/10/23,
9782020122139,3,90c,09/10/23,
9782020122146,3,90c,09/10/23,
9782213601014,3,90c,09/10/23,
9782841115198,4,90c,09/10/23,
9782213631493,4,90c,09/10/23,
9782221053041,4,90c,09/10/23,
9782743401269,4,90c,09/10/23,
9782213607412,4,90c,09/10/23,
9782213618241,4,90c,09/10/23,
9782070789337,4,90c,09/10/23,
9782842705152,4,90c,09/10/23,
9782714418241,4,90c,09/10/23,
9782226065353,4,90c,09/10/23,
9782226039347,4,90c,09/10/23,
9782226048653,4,90c,09/10/23,
9782226126443,4,90c,09/10/23,
9782259202961,4,90c,09/10/23,
9782080668721,4,90c,09/10/23,
9782226069955,4,90c,09/10/23,
9782268047256,4,90c,09/10/23,
9782749916859,5,90c,09/10/23,
9782703304524,5,90c,09/10/23,
9782221089187,5,90c,09/10/23,
9782907310017,5,90c,09/10/23,
9782226061584,5,90c,09/10/23,
9782020143998,5,90c,09/10/23,
9782709605076,5,90c,09/10/23,
9782866453329,5,90c,09/10/23,
9782268013169,5,90c,09/10/23,
9782234046566,5,90c,09/10/23,
9782080643766,5,90c,09/10/23,
9782221048986,5,90c,09/10/23,
9782080668219,5,90c,09/10/23,
9782842057565,5,90c,09/10/23,
9782213655154,5,90c,09/10/23,
9782246552819,5,90c,09/10/23,
9782082026086,5,90c,09/10/23,
9782258026155,6,90c,09/10/23,
